 2018-06-27 08:57:04,544 [P748/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.10.4 application starting on LAPTOP-FS6CRE8R
 2018-06-27 08:57:04,862 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2018-06-27 08:57:04,952 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 90ms)
 2018-06-27 08:57:05,617 [P748/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2018-06-27 08:57:05,638 [P748/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2018-06-27 08:57:05,642 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-06-27 08:57:14,989 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 9346ms)
 2018-06-27 08:57:14,990 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IApplicationStartupHandler
 2018-06-27 08:57:14,995 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IApplicationStartupHandler (took 4ms)
 2018-06-27 08:57:16,257 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-06-27 08:57:16,258 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 1ms)
 2018-06-27 08:57:16,259 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2018-06-27 08:57:16,261 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter (took 1ms)
 2018-06-27 08:57:16,263 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-06-27 08:57:16,264 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 1ms)
 2018-06-27 08:57:16,265 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2018-06-27 08:57:16,268 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyValueConverter (took 3ms)
 2018-06-27 08:57:16,320 [P748/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
